,ID_Transacao,Status_Pedido,Valor_Compra,Idade_Cliente,CEP
63,3119,Cancelado,,31.0,062466-000
64,4468,Entregue,145.8372443539345,52.0,059937-000
65,1616,Cancelado,,40.0,034459-000
66,3377,Cancelado,,46.0,055076-000
67,4619,Cancelado,,40.0,020080-000
68,2170,Cancelado,,61.0,046813-000
69,4486,Entregue,193.3968763590946,,030168-000
70,4839,Entregue,148.67554141009097,,093097-000
71,4811,Em Trânsito,136.87988774225366,,041892-000
72,3396,Cancelado,,37.0,012965-000
73,1364,Entregue,142.73796532161134,42.0,042438-000
74,3838,Em Trânsito,206.64405262011564,36.0,018493-000
75,3463,Cancelado,,43.0,077880-000
76,1624,Em Trânsito,216.66946705030517,49.0,055828-000
77,1506,Cancelado,,,095135-000
78,1522,Entregue,31.13229622900751,38.0,037891-000
79,1705,Em Trânsito,109.84676360815132,26.0,050955-000
80,2759,Entregue,144.77384748168313,60.0,026445-000
81,1249,Cancelado,,36.0,043625-000
82,1900,Cancelado,,,093260-000
83,1248,Cancelado,,,035393-000
84,2374,Em Trânsito,239.04716211281834,38.0,072844-000
85,2292,Em Trânsito,220.20705387741071,35.0,037683-000
86,3901,Em Trânsito,89.64175944622552,23.0,031399-000
87,3495,Entregue,107.88516010281634,52.0,092894-000
88,2826,Em Trânsito,165.95671425308834,31.0,030036-000
89,3130,Cancelado,,26.0,093631-000
90,4612,Entregue,13.15277970582963,52.0,059941-000
91,4478,Cancelado,,19.0,036656-000
92,3386,Cancelado,,68.0,043348-000
93,2103,Em Trânsito,155.60714880027868,23.0,036617-000
94,3142,Em Trânsito,103.44388188456344,,051311-000
95,3959,Em Trânsito,122.04413725809738,74.0,041766-000
96,4993,Cancelado,,,083097-000
97,1258,Entregue,278.03633177098925,26.0,028266-000
98,1121,Em Trânsito,151.81082388247296,67.0,014345-000
99,2147,Em Trânsito,113.8425226911834,48.0,027644-000
100,3582,Entregue,240.15474206810478,,082583-000
101,4000,Cancelado,,45.0,075767-000
102,1904,Cancelado,,19.0,057531-000
103,1946,Entregue,150.96672240859166,,084684-000
104,4799,Em Trânsito,140.4207804585497,,047497-000
105,4360,Entregue,177.4307749697581,41.0,054889-000
106,4533,Em Trânsito,87.12868148049728,52.0,029920-000
107,3139,Entregue,90.42042326421594,24.0,064271-000
108,2047,Cancelado,,55.0,079850-000
109,4178,Cancelado,,46.0,092226-000
110,4889,Cancelado,,18.0,067657-000
111,1051,Cancelado,,72.0,013474-000
112,3758,Entregue,270.3728066333874,68.0,097768-000
113,1293,Entregue,142.41038662100823,47.0,034039-000
114,3347,Em Trânsito,156.576067448682,69.0,024104-000
115,3392,Entregue,167.55131154519827,63.0,027786-000
116,2405,Em Trânsito,146.35476264379344,,096296-000
117,2591,Entregue,208.98474816366237,27.0,056716-000
118,3241,Entregue,157.27891288691018,51.0,054358-000
119,4628,Entregue,123.92933054696712,28.0,061269-000
120,3483,Entregue,81.74928697139462,65.0,032193-000
121,3432,Cancelado,,66.0,097950-000
122,1854,Entregue,195.71958405584448,54.0,026791-000
123,1750,Em Trânsito,86.63168423005179,71.0,081216-000
124,2395,Cancelado,,,090390-000
125,4815,Entregue,198.28407667566398,67.0,088429-000
126,3367,Entregue,107.43232595704643,,016224-000
127,1238,Em Trânsito,106.97708159110773,27.0,037685-000
128,3439,Cancelado,,55.0,028476-000
129,3017,Cancelado,,,086598-000
130,2962,Cancelado,,41.0,011484-000
131,3695,Cancelado,,25.0,029760-000
132,4356,Em Trânsito,100.31817613428393,23.0,016326-000
133,3060,Entregue,117.02195209653257,72.0,043234-000
134,4456,Entregue,141.07907473004911,21.0,080469-000
135,1540,Cancelado,,22.0,090075-000
136,3737,Em Trânsito,111.16026893645368,23.0,043742-000
137,2316,Entregue,174.04116631080745,,055678-000
138,3304,Cancelado,,,080723-000
139,1107,Cancelado,,55.0,066624-000
140,2604,Em Trânsito,233.0931666728597,68.0,078187-000
141,2908,Em Trânsito,153.92507320655736,74.0,093719-000
142,4759,Em Trânsito,108.38913715447606,,024963-000
143,3230,Cancelado,,57.0,092935-000
144,4825,Em Trânsito,168.04041361027768,62.0,016238-000
145,4777,Cancelado,,53.0,068028-000
146,1366,Entregue,160.6717536753336,,057900-000
147,4067,Cancelado,,66.0,070494-000
148,1830,Cancelado,,31.0,074791-000
149,4605,Entregue,76.13175111498471,,058788-000
150,3909,Em Trânsito,163.62447360324057,64.0,051328-000
151,4594,Em Trânsito,69.9246112687908,71.0,065574-000
152,4356,Cancelado,,36.0,071790-000
153,3921,Cancelado,,28.0,081583-000
154,4330,Entregue,139.19758878497126,56.0,065701-000
155,1172,Em Trânsito,182.38975682051816,18.0,082125-000
156,2740,Entregue,158.63558486518156,52.0,090501-000
157,3807,Cancelado,,36.0,022805-000
158,3818,Cancelado,,,076880-000
159,2353,Entregue,137.24822376831057,,096037-000
160,1451,Entregue,85.18227719471389,53.0,037331-000
161,4853,Em Trânsito,262.90029725962984,41.0,084860-000
162,3044,Entregue,139.33644014552732,60.0,083075-000
163,1470,Em Trânsito,128.60008795611574,24.0,050632-000
164,2104,Em Trânsito,172.1993611693792,24.0,097268-000
165,1320,Entregue,140.33567736330966,63.0,023225-000
166,1440,Entregue,87.10069546896793,64.0,062218-000
167,3446,Em Trânsito,90.40815118396259,,049859-000
168,3235,Entregue,105.48248876260709,31.0,069755-000
169,4509,Em Trânsito,167.86708080866214,62.0,036496-000
170,1884,Em Trânsito,115.22622870066024,69.0,094392-000
171,2921,Cancelado,,43.0,010958-000
172,3897,Em Trânsito,142.2512680595146,,093408-000
173,4519,Cancelado,,67.0,096687-000
174,1742,Entregue,152.9989630203035,18.0,075457-000
175,2493,Em Trânsito,98.02990021057265,30.0,028317-000
176,4611,Em Trânsito,213.76076000243634,40.0,023584-000
177,3909,Entregue,165.51268069635424,37.0,048495-000
178,4532,Entregue,141.3453284886134,24.0,036592-000
179,3039,Entregue,123.5405075969965,,047917-000
180,4906,Em Trânsito,122.57385846176508,26.0,097672-000
181,3562,Entregue,92.13803992090757,,066308-000
182,2260,Entregue,83.41915170283515,27.0,047742-000
183,1180,Cancelado,,71.0,099010-000
184,1409,Cancelado,,,030321-000
185,3563,Em Trânsito,111.67257012185095,24.0,046029-000
186,1911,Entregue,96.18526823082215,42.0,038858-000
187,3907,Entregue,214.39754792252364,47.0,051838-000
188,4143,Cancelado,,,048336-000
189,3229,Em Trânsito,91.3114388332854,43.0,074597-000
190,3151,Entregue,178.5373101752796,61.0,014768-000
191,4343,Em Trânsito,222.65908028801002,29.0,087422-000
192,3334,Cancelado,,30.0,015177-000
193,3134,Entregue,156.90950626924246,71.0,041761-000
194,1385,Cancelado,,,083582-000
195,4144,Cancelado,,57.0,060022-000
196,1602,Cancelado,,,041883-000
197,4756,Entregue,102.44779499078783,70.0,016601-000
198,4381,Em Trânsito,151.1187716737101,69.0,084433-000
199,3746,Entregue,180.22889075756967,18.0,029073-000
200,1442,Cancelado,,23.0,066261-000
201,2941,Em Trânsito,176.48480956693123,72.0,053219-000
202,4307,Cancelado,,19.0,014581-000
203,4745,Entregue,136.90892123853448,71.0,049802-000
204,3632,Em Trânsito,79.36257059498959,63.0,039698-000
205,2760,Entregue,242.5030633464215,44.0,061119-000
206,4967,Em Trânsito,238.38968851555543,35.0,084980-000
207,4301,Cancelado,,59.0,084980-000
208,3301,Cancelado,,46.0,070393-000
209,3999,Cancelado,,70.0,015080-000
210,4745,Entregue,151.63243055097593,50.0,074652-000
211,1354,Entregue,134.53073002601377,20.0,078664-000
212,2785,Cancelado,,37.0,072577-000
213,4566,Cancelado,,,032206-000
214,3457,Em Trânsito,177.34494979668187,35.0,040450-000
215,4270,Em Trânsito,158.2088314370049,25.0,088117-000
216,3476,Entregue,194.2157823474943,39.0,054569-000
217,4823,Em Trânsito,139.03819860936642,,019811-000
218,2772,Entregue,129.0699620340751,39.0,060496-000
219,1474,Entregue,169.3719741129646,,087641-000
220,3635,Em Trânsito,154.31507234254084,,096588-000
221,4024,Em Trânsito,224.2025152136303,19.0,021960-000
222,3964,Em Trânsito,132.67102327889103,26.0,066832-000
223,3389,Cancelado,,52.0,028162-000
224,3521,Cancelado,,,078639-000
225,2830,Em Trânsito,129.34172541300876,43.0,048634-000
226,3444,Cancelado,,51.0,015530-000
227,2449,Entregue,68.39261825337698,24.0,078624-000
228,2068,Cancelado,,47.0,033128-000
229,4414,Cancelado,,,080707-000
230,3738,Cancelado,,42.0,014465-000
231,1733,Entregue,178.23287240009347,66.0,039998-000
232,4958,Entregue,168.4990484249319,26.0,098607-000
233,2040,Em Trânsito,116.50580306038972,44.0,037333-000
234,3266,Cancelado,,,075886-000
235,1595,Cancelado,,50.0,016522-000
236,1190,Entregue,59.75922541471927,25.0,056518-000
237,4462,Cancelado,,66.0,099194-000
238,4510,Entregue,120.12512700935758,49.0,045320-000
239,1643,Cancelado,,57.0,066307-000
240,4568,Em Trânsito,183.9104991776892,36.0,083087-000
241,2822,Entregue,162.16021066294402,53.0,058975-000
242,1093,Entregue,195.56232306254373,,043819-000
243,2118,Entregue,144.10562547753287,62.0,067630-000
244,4767,Cancelado,,39.0,086406-000
245,2667,Em Trânsito,189.95782237355655,,066662-000
246,2105,Entregue,233.816873234943,43.0,013558-000
247,1339,Em Trânsito,134.4262745857797,20.0,073082-000
248,3855,Entregue,162.40472648263716,63.0,074762-000
249,3407,Em Trânsito,178.678413141149,26.0,083834-000
250,3036,Cancelado,,52.0,061705-000
251,3159,Cancelado,,24.0,013513-000
252,1302,Em Trânsito,144.3986488652956,32.0,019460-000
253,2841,Em Trânsito,178.1882807629367,21.0,065374-000
254,2942,Cancelado,,54.0,035316-000
255,1050,Em Trânsito,245.73192230029588,45.0,083189-000
256,1805,Em Trânsito,134.52463449171321,,075558-000
257,2928,Em Trânsito,110.01345104906719,52.0,059512-000
258,1700,Entregue,174.2254074018831,65.0,038669-000
259,4791,Em Trânsito,103.08113659936785,,067560-000
260,1660,Entregue,127.07739998608763,68.0,041709-000
261,2800,Cancelado,,42.0,075270-000
262,2907,Cancelado,,26.0,097705-000
263,2304,Cancelado,,69.0,027011-000
264,2136,Em Trânsito,121.82566069819691,50.0,029651-000
265,1035,Cancelado,,,010566-000
266,1622,Entregue,258.6294680601185,,046526-000
267,3730,Entregue,191.47213413169834,26.0,012020-000
268,4149,Em Trânsito,57.81294908344343,,079066-000
269,3896,Entregue,129.63437655675688,,028890-000
270,2563,Entregue,176.59889180173417,64.0,087283-000
271,4007,Cancelado,,43.0,085919-000
272,3092,Entregue,28.92199169127639,62.0,053882-000
273,1872,Cancelado,,36.0,035304-000
274,3999,Cancelado,,,057742-000
275,2327,Entregue,232.00395744960196,19.0,092393-000
276,2415,Entregue,167.7739679022658,62.0,072124-000
277,3701,Em Trânsito,142.76953658613152,24.0,043373-000
278,3062,Em Trânsito,134.20363097528718,26.0,048451-000
279,3687,Entregue,172.53290393920616,39.0,062754-000
280,1166,Cancelado,,,023669-000
281,2688,Cancelado,,,082940-000
282,1062,Em Trânsito,166.1581444733759,71.0,030754-000
283,4642,Cancelado,,33.0,014847-000
284,1202,Em Trânsito,151.6408291344991,60.0,091472-000
285,2180,Cancelado,,41.0,048446-000
286,2538,Entregue,167.84189553338695,25.0,070489-000
287,4622,Entregue,160.12286529450844,47.0,079589-000
288,3325,Cancelado,,43.0,076245-000
289,2124,Em Trânsito,146.72552784758358,,010922-000
290,1894,Entregue,147.60338399195908,65.0,060261-000
291,2192,Em Trânsito,203.93758102207835,52.0,046360-000
292,2555,Entregue,161.78202652727833,62.0,022790-000
293,3450,Cancelado,,,024567-000
294,2164,Entregue,72.66777596466981,,030343-000
295,3394,Cancelado,,55.0,065793-000
296,1786,Em Trânsito,115.5543533136654,27.0,041142-000
297,1975,Entregue,173.04518899572383,58.0,011490-000
298,1833,Em Trânsito,119.0455734937878,67.0,090118-000
299,1192,Em Trânsito,211.32483997801,34.0,070928-000
300,3946,Cancelado,,24.0,038426-000
301,3199,Em Trânsito,183.1463820188612,,093401-000
302,4819,Entregue,56.85442420268353,28.0,044048-000
303,4877,Cancelado,,67.0,057578-000
304,1385,Cancelado,,20.0,041723-000
305,2975,Cancelado,,63.0,026178-000
306,4279,Em Trânsito,118.124883196506,37.0,071286-000
307,4036,Entregue,189.33400251308683,,047622-000
308,4620,Entregue,185.88067711443182,40.0,051834-000
309,2411,Entregue,99.65643751588456,34.0,018055-000
310,2101,Cancelado,,46.0,034687-000
311,3000,Cancelado,,71.0,065318-000
312,1171,Entregue,140.74973440481037,60.0,049848-000
313,4628,Em Trânsito,228.8568490213819,56.0,050829-000
314,1336,Cancelado,,49.0,083929-000
315,4667,Entregue,106.83835570003421,52.0,091396-000
316,3939,Em Trânsito,111.81158735074258,52.0,053613-000
317,2454,Cancelado,,51.0,096672-000
318,1604,Cancelado,,38.0,093451-000
319,3536,Cancelado,,33.0,019581-000
320,1665,Entregue,138.22469867677927,40.0,091617-000
321,3153,Cancelado,,28.0,093537-000
322,3917,Cancelado,,31.0,055101-000
323,2232,Em Trânsito,167.14646588971846,20.0,034940-000
324,4787,Entregue,71.02149317521,24.0,078907-000
325,4831,Em Trânsito,86.29905564590896,57.0,021016-000
326,4419,Cancelado,,62.0,032943-000
327,2928,Entregue,109.60874913776355,68.0,064617-000
328,1351,Entregue,118.04426467575291,28.0,093292-000
329,2761,Cancelado,,50.0,086585-000
330,3895,Entregue,167.8216654327856,36.0,012237-000
331,3095,Entregue,93.80205566102441,62.0,075263-000
332,4317,Em Trânsito,111.77249353332593,71.0,079980-000
333,3078,Entregue,70.80908490191014,66.0,030852-000
334,4766,Entregue,103.9374226424341,,015758-000
335,1474,Em Trânsito,139.60941698476879,68.0,054322-000
336,3524,Cancelado,,,055003-000
337,4328,Em Trânsito,98.41113972273624,40.0,095895-000
338,2149,Cancelado,,40.0,019176-000
339,3266,Cancelado,,46.0,039658-000
340,3292,Cancelado,,23.0,015674-000
341,4551,Em Trânsito,201.09219834030125,56.0,027910-000
342,1442,Cancelado,,,037948-000
343,2674,Em Trânsito,129.1765556216245,49.0,065941-000
344,3548,Em Trânsito,207.89372705498513,57.0,076572-000
345,4298,Cancelado,,43.0,037749-000
346,3945,Cancelado,,31.0,036678-000
347,4885,Em Trânsito,168.57205538176112,35.0,077766-000
348,3816,Em Trânsito,86.64059441941032,38.0,027426-000
349,1254,Cancelado,,42.0,055418-000
350,1069,Cancelado,,,050709-000
351,3502,Cancelado,,41.0,038680-000
352,1577,Em Trânsito,206.15238851994238,20.0,016168-000
353,4073,Em Trânsito,163.15053930076647,39.0,079191-000
354,1494,Em Trânsito,147.42944391703153,,057076-000
355,3372,Cancelado,,63.0,011080-000
356,1780,Entregue,181.018659490748,74.0,087333-000
357,3450,Entregue,125.65398780820429,,059975-000
358,1850,Entregue,227.1213063960684,46.0,046018-000
359,2838,Entregue,112.77845679847194,24.0,077651-000
360,1128,Entregue,231.27437551052395,23.0,095487-000
361,2506,Em Trânsito,179.66215014081766,,083775-000
362,3193,Cancelado,,,093360-000
363,2648,Cancelado,,39.0,021927-000
364,2823,Cancelado,,64.0,010944-000
365,4167,Cancelado,,43.0,062420-000
366,3548,Cancelado,,42.0,029503-000
367,2479,Entregue,188.176519404341,36.0,032456-000
368,2802,Cancelado,,53.0,020175-000
369,2427,Cancelado,,52.0,034930-000
370,1007,Entregue,98.74815336550972,30.0,013305-000
371,1219,Cancelado,,,090881-000
372,1724,Entregue,79.29957613466424,65.0,063947-000
373,1101,Entregue,150.1966774854295,62.0,049537-000
374,2701,Em Trânsito,72.30125271439532,49.0,043136-000
375,3821,Cancelado,,47.0,037562-000
376,3049,Cancelado,,38.0,054953-000
377,4785,Cancelado,,59.0,086730-000
378,4561,Entregue,118.61467926483317,62.0,085624-000
379,4912,Em Trânsito,186.16355319525326,57.0,099264-000
380,3742,Cancelado,,61.0,061699-000
381,1770,Entregue,150.9593131606941,,093473-000
382,1833,Entregue,162.57706317924087,58.0,029194-000
383,1739,Entregue,192.65589658851394,59.0,090312-000
384,1199,Entregue,250.49867591467608,24.0,095992-000
385,2992,Em Trânsito,93.363509169351,20.0,092983-000
386,1025,Em Trânsito,139.75994887133615,54.0,063349-000
387,3017,Entregue,60.05689113241483,20.0,093117-000
388,1943,Cancelado,,35.0,071241-000
389,4421,Em Trânsito,232.0744526078198,68.0,080551-000
390,1101,Cancelado,,,045629-000
391,4719,Cancelado,,26.0,055251-000
392,4010,Em Trânsito,159.07484031657174,74.0,023895-000
393,2354,Cancelado,,,068549-000
394,3904,Em Trânsito,73.25724212289586,24.0,068918-000
395,3419,Em Trânsito,222.55307689885254,50.0,022792-000
396,1196,Cancelado,,42.0,073406-000
397,1509,Cancelado,,59.0,025430-000
398,2995,Entregue,51.900312991194625,51.0,049130-000
399,2014,Em Trânsito,117.67491975279283,55.0,052500-000
400,4101,Cancelado,,38.0,081844-000
401,1922,Em Trânsito,167.07669233516802,55.0,079120-000
402,3346,Entregue,230.42381475708854,73.0,071397-000
403,4204,Entregue,137.3846717255065,,064455-000
404,2791,Entregue,144.66564851960445,35.0,061078-000
405,2555,Entregue,226.08713565231926,56.0,041088-000
406,2331,Entregue,208.6756098236132,67.0,079055-000
407,1020,Entregue,79.60881384566895,50.0,019597-000
408,2922,Entregue,222.42337589998846,45.0,012013-000
409,2064,Entregue,69.7582088151044,73.0,093640-000
410,2915,Em Trânsito,173.53078112597473,42.0,023465-000
411,2521,Cancelado,,31.0,096013-000
412,2983,Em Trânsito,159.36358033837638,,075569-000
413,2899,Em Trânsito,131.22336872263784,37.0,037487-000
414,4011,Cancelado,,56.0,076939-000
415,4543,Cancelado,,37.0,013219-000
416,1966,Entregue,157.56958356842156,24.0,018077-000
417,2687,Cancelado,,21.0,012710-000
418,2331,Em Trânsito,225.26418523792168,48.0,036178-000
419,3506,Entregue,136.39647120931602,,056994-000
420,1513,Em Trânsito,123.66884415915737,74.0,022964-000
421,4574,Cancelado,,54.0,097138-000
422,4115,Em Trânsito,108.03555124956928,72.0,038288-000
423,1040,Em Trânsito,127.24888287534148,73.0,040714-000
424,3885,Entregue,98.47972864878679,38.0,013602-000
425,1262,Entregue,180.6777041280898,18.0,098024-000
426,2317,Em Trânsito,169.94524182616473,69.0,014096-000
427,3732,Cancelado,,20.0,081652-000
428,2032,Entregue,154.72574682921896,30.0,091075-000
429,4124,Em Trânsito,205.70199677494202,24.0,039610-000
430,2819,Entregue,202.88304672514653,23.0,076815-000
431,4070,Entregue,98.02134980970362,23.0,075585-000
432,1127,Cancelado,,,048419-000
433,3578,Em Trânsito,123.52623165136437,49.0,052734-000
434,2987,Em Trânsito,151.07403615218368,33.0,091985-000
435,3691,Em Trânsito,132.40937323654305,55.0,016539-000
436,1524,Em Trânsito,89.83777636469249,,031754-000
437,2755,Em Trânsito,111.00688970752717,38.0,014223-000
438,4850,Entregue,212.24995551208502,74.0,037320-000
439,1756,Entregue,213.61131456051672,,059339-000
440,4841,Entregue,184.0411157871914,,015302-000
441,4013,Entregue,138.73361583126953,40.0,073046-000
442,4211,Cancelado,,23.0,094808-000
443,1893,Cancelado,,63.0,031241-000
444,3806,Em Trânsito,144.14808052629292,,043434-000
445,3279,Cancelado,,28.0,066731-000
446,3980,Entregue,193.06328782665742,44.0,051892-000
447,2591,Entregue,212.07536864984834,,040798-000
448,1087,Entregue,171.4330485991448,62.0,015138-000
449,3813,Entregue,54.48938450775498,55.0,079676-000
450,2587,Entregue,159.91209403447152,,058901-000
451,4830,Em Trânsito,258.80314460880487,31.0,023533-000
452,2787,Em Trânsito,142.31980110382491,62.0,043385-000
453,1636,Entregue,248.18597713668441,27.0,089480-000
454,3248,Em Trânsito,185.10714591813922,,059944-000
455,4033,Cancelado,,71.0,068594-000
456,4459,Cancelado,,,087721-000
457,3408,Entregue,119.59417875072768,29.0,077980-000
458,3179,Em Trânsito,88.18106237320852,73.0,020514-000
459,1176,Entregue,89.21857895731134,,030617-000
460,4123,Em Trânsito,160.3805997154464,37.0,011350-000
461,2569,Entregue,172.29362005229726,,057318-000
462,1021,Entregue,115.8881566115636,19.0,094195-000
463,1652,Entregue,210.97828497969743,,098170-000
464,4390,Cancelado,,29.0,061358-000
465,1782,Em Trânsito,191.47089753587377,55.0,071178-000
466,1167,Em Trânsito,115.92055451573844,,085805-000
467,2061,Cancelado,,64.0,068465-000
468,1872,Cancelado,,35.0,010608-000
469,2781,Em Trânsito,135.94489967607984,67.0,086657-000
470,2770,Em Trânsito,161.2788919669984,27.0,058650-000
471,2590,Entregue,121.9738464833815,24.0,049834-000
472,3987,Entregue,146.96812925024892,59.0,010167-000
473,2396,Em Trânsito,161.95207981395302,22.0,058338-000
474,1631,Em Trânsito,123.2568121045754,,049543-000
475,2601,Entregue,136.77742454903833,46.0,013256-000
476,3881,Cancelado,,68.0,012479-000
477,2450,Em Trânsito,102.93701768660569,52.0,099511-000
478,2863,Em Trânsito,211.4739910652078,56.0,071478-000
479,4237,Cancelado,,68.0,051939-000
480,1721,Cancelado,,,037010-000
481,4573,Cancelado,,27.0,018982-000
482,4996,Em Trânsito,225.57279430946107,54.0,060626-000
483,4146,Em Trânsito,178.7637679598081,19.0,067277-000
484,1439,Em Trânsito,131.3146453672985,20.0,086176-000
485,4717,Entregue,197.19607395289214,31.0,083276-000
486,4336,Cancelado,,64.0,035702-000
487,4477,Cancelado,,37.0,069094-000
488,4757,Entregue,173.69753365468307,62.0,071541-000
489,1242,Entregue,161.1878354378363,66.0,031134-000
490,3648,Entregue,220.8345606925409,,021353-000
491,3809,Entregue,148.75657145414945,21.0,086917-000
492,1542,Cancelado,,,025238-000
493,1276,Entregue,193.11343180899792,43.0,072766-000
494,1549,Entregue,134.08157259737874,64.0,056596-000
495,2331,Cancelado,,,093152-000
496,1402,Cancelado,,26.0,024422-000
497,3697,Cancelado,,20.0,039638-000
498,2453,Cancelado,,,057990-000
499,1996,Em Trânsito,179.92269512655272,56.0,080264-000
500,1075,Em Trânsito,173.3473675413505,58.0,074756-000
501,3386,Em Trânsito,190.50842345304807,,071285-000
502,3812,Em Trânsito,146.45544398052334,47.0,072553-000
503,2473,Cancelado,,,034029-000
504,4150,Em Trânsito,157.2661780629045,,061851-000
505,3085,Entregue,193.00016622531683,20.0,067226-000
506,1317,Entregue,53.91947682259534,26.0,028384-000
507,4399,Entregue,138.073256019944,25.0,040089-000
508,4501,Em Trânsito,256.06391049975014,26.0,097926-000
509,2186,Em Trânsito,227.03939036418024,73.0,043007-000
510,2381,Entregue,165.16686310051804,34.0,099359-000
511,2962,Em Trânsito,179.61031447372923,41.0,077726-000
512,3687,Cancelado,,25.0,073182-000
513,3717,Em Trânsito,181.53196632634572,70.0,047459-000
514,1328,Entregue,106.17348066254347,31.0,075411-000
515,2854,Entregue,116.7276576280159,71.0,012015-000
516,4485,Em Trânsito,117.45940691229461,,097290-000
517,2904,Em Trânsito,127.76258523530373,35.0,092082-000
518,4666,Entregue,228.70156202044404,66.0,063901-000
519,2948,Entregue,91.68334581407103,41.0,010030-000
520,1475,Em Trânsito,248.19034476126606,56.0,016601-000
521,4527,Em Trânsito,170.25972333618463,69.0,034389-000
522,2752,Entregue,91.64831686824135,64.0,053098-000
523,2737,Entregue,121.50911241845725,44.0,094095-000
524,2813,Entregue,171.9253851594485,45.0,061978-000
525,2954,Entregue,85.38590593938066,,096985-000
526,2175,Entregue,132.5854408082827,51.0,027231-000
527,1537,Entregue,93.14890564012089,44.0,059943-000
528,4486,Entregue,181.77477217616578,51.0,034276-000
529,3390,Em Trânsito,93.93799086957522,56.0,055795-000
530,2789,Cancelado,,,073344-000
531,4457,Cancelado,,23.0,083513-000
532,4834,Em Trânsito,134.74796614015224,47.0,024294-000
533,2190,Cancelado,,45.0,072996-000
534,4936,Em Trânsito,173.5652873093891,,019204-000
535,2495,Em Trânsito,148.61273904719857,32.0,094944-000
536,3187,Em Trânsito,108.86535339756067,62.0,092994-000
537,4300,Em Trânsito,119.46630589831999,56.0,032352-000
538,3120,Cancelado,,56.0,061067-000
539,1427,Em Trânsito,101.79305353614879,32.0,096403-000
540,4370,Entregue,148.1958070658326,53.0,033613-000
541,2259,Em Trânsito,233.39290026854107,,089190-000
542,2730,Cancelado,,18.0,033704-000
543,4030,Cancelado,,,092655-000
544,1599,Cancelado,,26.0,018133-000
545,1096,Cancelado,,18.0,072949-000
546,1477,Entregue,212.3033739433975,22.0,067321-000
547,2701,Em Trânsito,121.46971383671028,64.0,064200-000
