ID_Transacao,Status_Pedido,Valor_Compra,Idade_Cliente,CEP
3280,Entregue,167.58728634375154,29.0,065989-000
1704,Entregue,148.53494283908657,49.0,014922-000
1562,Em Trânsito,111.60853673964013,42.0,079928-000
3986,Em Trânsito,114.20767293360674,56.0,062335-000
3934,Em Trânsito,109.27639427774591,35.0,023541-000
3773,Cancelado,,32.0,029551-000
4734,Em Trânsito,196.7016879986168,49.0,029381-000
4511,Cancelado,,23.0,065673-000
4573,Em Trânsito,196.78372281928966,61.0,032948-000
4346,Em Trânsito,150.2249774384262,,069072-000
2873,Entregue,137.8685606099922,69.0,077560-000
3123,Entregue,138.78089450543317,52.0,092249-000
1438,Entregue,201.0550786453054,51.0,012486-000
4803,Cancelado,,,076691-000
2883,Cancelado,,73.0,020082-000
2979,Em Trânsito,105.63271862477913,71.0,094105-000
1698,Cancelado,,74.0,017086-000
2312,Em Trânsito,126.12712382764408,22.0,077853-000
3962,Cancelado,,,080027-000
2563,Cancelado,,33.0,025916-000
3938,Cancelado,,25.0,025248-000
1691,Entregue,122.1535596157519,42.0,078047-000
3300,Cancelado,,49.0,034226-000
4197,Entregue,115.02576104195965,,035025-000
2200,Entregue,185.42801574283226,,058380-000
4108,Cancelado,,39.0,017848-000
3457,Em Trânsito,140.10171221847355,,024274-000
2634,Em Trânsito,95.08805615768318,60.0,064545-000
2633,Em Trânsito,141.55533383060396,,045233-000
1126,Cancelado,,,026304-000
2506,Em Trânsito,164.93272241297453,74.0,021294-000
2191,Entregue,158.04421914958846,29.0,036425-000
3639,Em Trânsito,103.8703666586236,70.0,078711-000
1293,Cancelado,,45.0,019425-000
4916,Em Trânsito,239.98093800259667,23.0,054990-000
4709,Entregue,84.51815629457343,37.0,083746-000
2366,Cancelado,,22.0,078295-000
2019,Em Trânsito,156.52578065020478,40.0,026091-000
3357,Cancelado,,26.0,010002-000
3709,Cancelado,,,060411-000
3575,Cancelado,,33.0,050958-000
3587,Em Trânsito,238.6343634237023,71.0,030707-000
1418,Cancelado,,63.0,025248-000
1443,Em Trânsito,128.04203645615598,39.0,081309-000
1684,Entregue,147.42902227965791,25.0,088322-000
4629,Em Trânsito,59.57070214125487,37.0,061720-000
3887,Entregue,127.4623945417425,68.0,025037-000
3283,Em Trânsito,127.51091980365278,,077421-000
2462,Cancelado,,,091867-000
3261,Em Trânsito,247.10948063468854,54.0,050612-000
1084,Cancelado,,67.0,098031-000
3841,Entregue,129.61611942127567,51.0,023450-000
2767,Em Trânsito,58.324522800407706,28.0,019491-000
1084,Cancelado,,71.0,084804-000
2944,Entregue,106.76989294410032,57.0,016791-000
4560,Entregue,75.28268462493,50.0,038314-000
3112,Em Trânsito,195.65460152648896,48.0,061883-000
2669,Entregue,162.78238519252147,71.0,097086-000
1662,Cancelado,,61.0,075629-000
1626,Entregue,123.41730876662528,51.0,019967-000
1063,Entregue,146.46417621099587,67.0,091754-000
4414,Cancelado,,24.0,053220-000
3986,Entregue,149.86399024454437,66.0,084163-000
4946,Entregue,190.39782745797208,,014947-000
1918,Entregue,119.12718486416355,40.0,049419-000
2375,Entregue,185.80086716821302,63.0,066131-000
2181,Cancelado,,73.0,098714-000
2612,Entregue,55.178881197016366,24.0,038876-000
1490,Cancelado,,71.0,098444-000
4729,Entregue,126.4848428698019,42.0,029971-000
2878,Entregue,68.76093203013689,,072539-000
4534,Entregue,159.5746425836587,55.0,059228-000
4296,Entregue,105.32367575233393,37.0,084495-000
2940,Cancelado,,51.0,038261-000
1312,Cancelado,,66.0,071260-000
3662,Cancelado,,61.0,091371-000
1918,Em Trânsito,193.47755533238956,61.0,094793-000
2882,Entregue,143.34890596799556,47.0,013346-000
1812,Entregue,192.46011546311092,,066176-000
3987,Cancelado,,,062300-000
2489,Em Trânsito,120.8846436034409,52.0,021340-000
4159,Entregue,81.0453803460184,37.0,043012-000
4954,Cancelado,,,045393-000
2326,Entregue,85.57749072053502,,085133-000
1679,Entregue,177.94529805820807,61.0,035557-000
1434,Cancelado,,44.0,074204-000
1681,Cancelado,,,083273-000
2158,Entregue,134.79262321560984,53.0,027276-000
2073,Entregue,100.813694766949,,064639-000
2455,Cancelado,,49.0,017310-000
3387,Entregue,-2.2964415540805874,27.0,045167-000
3394,Entregue,185.78631695284054,28.0,094880-000
3693,Cancelado,,,020391-000
2370,Entregue,138.8592150140159,23.0,060621-000
1648,Entregue,162.11511373319237,58.0,020892-000
1244,Em Trânsito,81.32218040339356,64.0,086733-000
3156,Cancelado,,51.0,088586-000
4896,Em Trânsito,173.42875349769807,53.0,046142-000
4870,Em Trânsito,215.82730860923448,,055679-000
3580,Em Trânsito,63.02990140316315,34.0,051615-000
4161,Entregue,97.37599615017936,57.0,057553-000
1295,Entregue,187.61624465137183,57.0,089071-000
3159,Em Trânsito,167.94448799734263,71.0,051002-000
4884,Em Trânsito,298.15542281533544,29.0,080658-000
2612,Em Trânsito,203.78287344129492,38.0,019852-000
4248,Entregue,191.7712235946524,57.0,015387-000
3390,Em Trânsito,111.81056500025588,36.0,049994-000
4731,Em Trânsito,176.24028981953413,20.0,043725-000
3148,Cancelado,,35.0,082682-000
4829,Cancelado,,70.0,010560-000
3676,Entregue,144.1392713131434,,066565-000
2627,Cancelado,,,011312-000
4472,Cancelado,,64.0,028205-000
1027,Cancelado,,23.0,021595-000
3984,Entregue,162.19860691378406,33.0,097566-000
2985,Cancelado,,25.0,031329-000
2560,Entregue,140.53037787446485,65.0,078187-000
1057,Em Trânsito,183.73642730317533,35.0,085542-000
2521,Cancelado,,69.0,045645-000
1296,Entregue,181.98797208911222,65.0,097502-000
3181,Cancelado,,,097310-000
4402,Em Trânsito,178.67364934726032,56.0,079619-000
3296,Entregue,186.4117914544224,66.0,043513-000
4068,Entregue,96.66719334710955,66.0,018749-000
3597,Entregue,205.11877103353004,29.0,040783-000
1901,Em Trânsito,141.6761306525989,62.0,070645-000
2964,Em Trânsito,126.51016526869253,,092861-000
2098,Em Trânsito,114.49959441649891,24.0,063175-000
2677,Entregue,164.91001390491206,63.0,094216-000
3881,Em Trânsito,149.76891555482388,72.0,072709-000
2191,Cancelado,,18.0,027323-000
1770,Em Trânsito,169.51103921592397,66.0,060762-000
2526,Entregue,180.42923226750892,53.0,098220-000
4956,Cancelado,,38.0,074222-000
2378,Em Trânsito,151.98458786659253,54.0,044493-000
2248,Cancelado,,69.0,068328-000
4735,Cancelado,,41.0,022213-000
2554,Entregue,90.23416009047068,72.0,056930-000
1145,Cancelado,,42.0,037713-000
2983,Cancelado,,24.0,082723-000
2264,Entregue,82.50069767425032,59.0,042583-000
2907,Entregue,273.21062204996105,34.0,089944-000
3940,Entregue,166.33822388307541,46.0,032369-000
3391,Cancelado,,47.0,057928-000
2772,Cancelado,,24.0,078950-000
2058,Cancelado,,,029510-000
3749,Entregue,189.05687379160804,24.0,022120-000
3048,Em Trânsito,191.46069704131276,41.0,015295-000
3019,Cancelado,,28.0,030460-000
1152,Em Trânsito,137.9516434143992,26.0,024963-000
3476,Entregue,164.33964487720985,29.0,087116-000
1507,Cancelado,,,097822-000
4197,Em Trânsito,143.6608702810794,,037328-000
1490,Cancelado,,53.0,094629-000
4553,Cancelado,,45.0,031605-000
1344,Cancelado,,74.0,054813-000
2935,Em Trânsito,153.21862854361154,30.0,056371-000
2761,Entregue,60.97714239967435,40.0,057598-000
1220,Cancelado,,36.0,070776-000
2938,Entregue,68.43627522159176,59.0,082258-000
2942,Entregue,129.82634700034976,54.0,050969-000
1722,Em Trânsito,175.20505372404227,56.0,046912-000
4096,Em Trânsito,189.5573355756265,41.0,048374-000
1527,Entregue,183.61796044417508,33.0,082302-000
4253,Cancelado,,50.0,072784-000
2522,Em Trânsito,94.03633423762541,29.0,059882-000
3888,Cancelado,,51.0,025928-000
2664,Cancelado,,24.0,031274-000
4113,Cancelado,,,044416-000
4986,Entregue,181.38523787408525,,096148-000
1480,Cancelado,,,070998-000
3977,Entregue,151.24342420081484,30.0,039047-000
2871,Entregue,109.06179463944895,,053356-000
4819,Cancelado,,19.0,047134-000
3919,Cancelado,,56.0,077042-000
2462,Cancelado,,32.0,061310-000
2425,Cancelado,,,090758-000
4617,Entregue,203.37084765161998,28.0,022363-000
1344,Cancelado,,51.0,095149-000
4964,Cancelado,,56.0,054563-000
1044,Entregue,253.04797182312564,21.0,040628-000
4717,Em Trânsito,145.0925758517996,,079672-000
3068,Em Trânsito,161.04584040719467,46.0,056246-000
2657,Entregue,147.60742433354403,19.0,021161-000
4141,Em Trânsito,133.0845966768276,33.0,099110-000
2887,Entregue,181.54872449155488,56.0,012810-000
3920,Cancelado,,,069860-000
3095,Cancelado,,54.0,087199-000
2514,Em Trânsito,184.0734692704677,34.0,081688-000
3598,Cancelado,,38.0,075548-000
3334,Em Trânsito,156.67410140375898,61.0,072363-000
2001,Em Trânsito,132.93359401182366,36.0,021162-000
2033,Cancelado,,24.0,097858-000
3589,Cancelado,,,083535-000
3040,Em Trânsito,117.97056236254534,25.0,017219-000
3803,Cancelado,,30.0,080864-000
1273,Entregue,192.16650549307258,54.0,013621-000
1955,Cancelado,,19.0,099792-000
3647,Cancelado,,58.0,054433-000
2779,Entregue,201.2693282271981,28.0,086850-000
1380,Cancelado,,41.0,076188-000
2352,Cancelado,,23.0,064951-000
1478,Em Trânsito,149.29396390332835,43.0,091718-000
3062,Cancelado,,24.0,046558-000
1515,Cancelado,,74.0,025659-000
1190,Entregue,177.6884231407716,56.0,044413-000
2191,Em Trânsito,132.37878724681363,36.0,020435-000
4592,Em Trânsito,174.43966577633242,23.0,063911-000
3668,Em Trânsito,86.71436739152054,60.0,038067-000
2160,Cancelado,,46.0,097794-000
3201,Em Trânsito,75.02042245709082,,079224-000
2411,Entregue,100.78001870659085,56.0,083225-000
4280,Em Trânsito,179.23198491345596,19.0,011379-000
1271,Entregue,16.487700128659498,,037624-000
1142,Em Trânsito,240.12559295373777,21.0,098427-000
4682,Em Trânsito,191.72463603523005,23.0,067745-000
2912,Entregue,58.07334387551309,66.0,061805-000
4891,Em Trânsito,269.9249303346615,74.0,022516-000
2092,Em Trânsito,283.7051946243009,54.0,089422-000
3294,Em Trânsito,140.97541705051307,45.0,095843-000
4332,Cancelado,,47.0,034843-000
1787,Entregue,234.3151787101432,24.0,015912-000
3126,Em Trânsito,132.81049312798703,26.0,031514-000
2681,Entregue,158.0519753906427,42.0,097359-000
1622,Entregue,210.86448669613839,50.0,067032-000
4841,Entregue,142.32442681034016,,038797-000
4676,Em Trânsito,137.9472874841666,68.0,016449-000
3572,Em Trânsito,86.38025113973907,,011725-000
3819,Entregue,118.47284521309922,35.0,091406-000
1937,Cancelado,,27.0,019304-000
4692,Entregue,88.07184054826664,45.0,083058-000
4401,Cancelado,,28.0,023663-000
4260,Entregue,151.6800658321995,50.0,080320-000
2118,Entregue,57.514792716401985,18.0,085008-000
1616,Entregue,106.04184921893341,,085591-000
2031,Em Trânsito,247.2296996798511,,022676-000
1066,Cancelado,,37.0,035192-000
4567,Cancelado,,18.0,034722-000
1190,Entregue,132.502708274258,69.0,017446-000
4437,Em Trânsito,133.29238092728338,20.0,014725-000
3815,Em Trânsito,178.74344349191918,35.0,095597-000
1520,Cancelado,,58.0,098207-000
1989,Em Trânsito,130.46207934677398,31.0,067632-000
2140,Cancelado,,,076945-000
3314,Cancelado,,,083741-000
2634,Cancelado,,,026365-000
3532,Em Trânsito,147.12089917256392,72.0,075792-000
4580,Cancelado,,63.0,074857-000
4369,Cancelado,,,025704-000
4980,Entregue,144.24316982543513,,060575-000
2187,Cancelado,,54.0,039902-000
1375,Cancelado,,,011195-000
1652,Entregue,83.08966722478104,70.0,063517-000
4339,Entregue,203.11668312100298,34.0,044012-000
1548,Em Trânsito,146.3347421455221,39.0,021415-000
2097,Cancelado,,42.0,049534-000
4579,Em Trânsito,99.76514501728632,19.0,031686-000
1072,Em Trânsito,201.53288979937324,72.0,087198-000
3355,Entregue,117.40689329830204,,038743-000
1198,Em Trânsito,91.63757202527586,22.0,042161-000
4201,Cancelado,,21.0,071313-000
2781,Entregue,104.78470932526707,53.0,012402-000
4895,Cancelado,,23.0,073190-000
1571,Cancelado,,69.0,062551-000
1790,Entregue,157.8978801390477,38.0,023275-000
2638,Cancelado,,30.0,038182-000
2831,Entregue,108.25248158561612,71.0,024915-000
2855,Cancelado,,,010909-000
2510,Entregue,143.3410929866159,72.0,075908-000
4924,Em Trânsito,181.06174762869975,42.0,032620-000
2174,Cancelado,,,044112-000
4740,Entregue,153.68082548143485,72.0,084051-000
4277,Cancelado,,56.0,012431-000
1178,Cancelado,,37.0,096590-000
3244,Cancelado,,50.0,072175-000
1734,Entregue,117.48499950017732,31.0,042624-000
3136,Em Trânsito,180.92181552993847,73.0,086121-000
1798,Em Trânsito,129.5157905390986,53.0,071264-000
4505,Em Trânsito,137.96809728149645,,041958-000
1787,Entregue,76.98659927082151,38.0,011695-000
3795,Em Trânsito,59.42739581187307,63.0,059932-000
4254,Entregue,243.04935200918055,33.0,054225-000
1208,Cancelado,,,011403-000
1492,Cancelado,,33.0,093346-000
4201,Em Trânsito,104.38525184086234,73.0,084391-000
3712,Entregue,193.77618035893062,37.0,048636-000
4084,Cancelado,,46.0,020839-000
2657,Entregue,109.87864027885952,45.0,075546-000
3918,Entregue,97.02472820773066,,057829-000
1731,Cancelado,,41.0,019230-000
2129,Entregue,148.58586756464442,20.0,061977-000
4446,Cancelado,,42.0,050232-000
2605,Cancelado,,,035651-000
4778,Cancelado,,50.0,049963-000
3745,Entregue,114.25215749519708,19.0,065872-000
4170,Cancelado,,32.0,089198-000
1593,Entregue,150.00495109259103,39.0,023739-000
4658,Cancelado,,27.0,073294-000
3933,Cancelado,,35.0,058356-000
3899,Em Trânsito,154.89816322380634,39.0,011789-000
2215,Em Trânsito,133.0980979545027,63.0,029420-000
1324,Em Trânsito,130.32235633754303,66.0,099297-000
1978,Entregue,195.49978910606166,,047606-000
2749,Entregue,193.90739676692655,30.0,048640-000
2850,Cancelado,,50.0,054135-000
4003,Cancelado,,22.0,047067-000
2490,Cancelado,,43.0,068420-000
1893,Cancelado,,30.0,027357-000
2390,Entregue,139.72674901856374,44.0,049851-000
4389,Cancelado,,74.0,048262-000
1143,Cancelado,,,086853-000
1383,Em Trânsito,153.55527846469627,41.0,068643-000
3263,Cancelado,,20.0,031534-000
4432,Cancelado,,64.0,042872-000
3371,Cancelado,,68.0,017689-000
4086,Entregue,98.62011242937855,66.0,079103-000
1216,Em Trânsito,125.70525879373092,,096268-000
2515,Cancelado,,52.0,096310-000
3998,Cancelado,,65.0,098731-000
4618,Em Trânsito,196.9837124013951,31.0,047412-000
3230,Cancelado,,29.0,057734-000
3317,Entregue,166.46545726247476,,097793-000
3992,Cancelado,,61.0,079930-000
2490,Entregue,101.35030016573948,46.0,032228-000
3917,Entregue,249.33356322866547,,087924-000
2635,Cancelado,,,021319-000
4590,Em Trânsito,155.93670441042474,57.0,016475-000
4613,Entregue,191.6399501772691,,093694-000
3514,Em Trânsito,192.3368788765669,38.0,024728-000
3352,Cancelado,,74.0,039545-000
2167,Entregue,129.00484985662047,40.0,091686-000
1110,Cancelado,,,071756-000
2013,Em Trânsito,50.97828852169897,,078775-000
1231,Cancelado,,74.0,048699-000
2714,Cancelado,,74.0,046821-000
4655,Entregue,225.27411423556728,,040615-000
4793,Cancelado,,,023746-000
2755,Cancelado,,27.0,096457-000
4663,Cancelado,,60.0,032745-000
4571,Entregue,155.75580348928372,23.0,011245-000
3642,Em Trânsito,137.206309204211,,034853-000
2577,Em Trânsito,153.47695544465543,41.0,037632-000
2296,Cancelado,,29.0,022856-000
4774,Entregue,96.76219223261612,60.0,066893-000
3220,Cancelado,,,080641-000
1972,Em Trânsito,185.31942001511118,40.0,078049-000
2030,Entregue,129.99295791070878,44.0,068182-000
4226,Em Trânsito,229.0270920304185,74.0,012801-000
4593,Em Trânsito,183.9229576505919,,089431-000
3593,Entregue,114.05547924151882,54.0,049749-000
3595,Entregue,160.20343511374912,23.0,083757-000
4992,Cancelado,,18.0,065654-000
1517,Cancelado,,23.0,081574-000
4991,Em Trânsito,142.99010101452095,67.0,065381-000
1913,Entregue,213.18805809508905,,068601-000
3262,Entregue,187.27225198923583,58.0,025082-000
3181,Cancelado,,41.0,024648-000
3332,Em Trânsito,189.05930974011963,42.0,010364-000
4197,Em Trânsito,163.43093552079142,32.0,044568-000
2944,Cancelado,,43.0,089646-000
2462,Entregue,142.74311904058447,,081494-000
2872,Cancelado,,68.0,084632-000
3733,Cancelado,,,017436-000
4223,Cancelado,,65.0,096713-000
3378,Cancelado,,,036754-000
4609,Entregue,147.72265216065966,,070194-000
4454,Cancelado,,71.0,034544-000
4186,Entregue,133.82453902081818,52.0,070180-000
3941,Cancelado,,59.0,073295-000
4553,Em Trânsito,130.84779181377723,18.0,022638-000
2307,Entregue,198.15913714264084,63.0,075715-000
1898,Em Trânsito,220.71475530022107,,079409-000
2098,Cancelado,,29.0,093106-000
2189,Cancelado,,55.0,027157-000
2212,Cancelado,,,055565-000
3125,Entregue,141.06739404839024,29.0,079996-000
3994,Em Trânsito,57.6863370324962,59.0,075888-000
4673,Entregue,106.20541414253597,67.0,066095-000
1687,Entregue,140.42850153837247,56.0,074947-000
3068,Cancelado,,24.0,097122-000
1565,Em Trânsito,150.43250886544593,28.0,080880-000
2207,Cancelado,,53.0,014507-000
2894,Entregue,126.98588246415818,69.0,053988-000
4293,Cancelado,,48.0,026865-000
1826,Em Trânsito,150.5100735712435,50.0,037213-000
2351,Cancelado,,30.0,065954-000
3226,Em Trânsito,169.42871809987665,35.0,067450-000
2811,Em Trânsito,129.64465156229176,58.0,014477-000
4183,Cancelado,,73.0,072222-000
4807,Entregue,110.00034526524817,41.0,016533-000
4797,Cancelado,,,059395-000
2082,Entregue,97.21912640251469,48.0,033396-000
2350,Entregue,203.2712216138129,72.0,022755-000
3952,Cancelado,,58.0,010865-000
2644,Entregue,203.19717231140316,,021173-000
4968,Entregue,165.57480343442228,19.0,068905-000
3716,Cancelado,,,048097-000
1190,Cancelado,,32.0,043371-000
2223,Cancelado,,20.0,021254-000
2335,Entregue,146.12096041987434,60.0,014018-000
1707,Em Trânsito,153.70146761706192,48.0,015192-000
4106,Entregue,122.4271345822461,23.0,012015-000
1378,Em Trânsito,151.20516132386737,20.0,078916-000
1386,Cancelado,,73.0,038343-000
4829,Em Trânsito,121.05920929407448,28.0,079306-000
3284,Cancelado,,32.0,015829-000
1615,Cancelado,,,044381-000
2542,Em Trânsito,180.20602529923707,,091081-000
3330,Cancelado,,45.0,028263-000
3048,Em Trânsito,160.98286285790275,27.0,063260-000
2754,Cancelado,,55.0,053306-000
1463,Entregue,51.1464513044822,64.0,068418-000
4301,Entregue,204.20665437389005,74.0,010148-000
1966,Cancelado,,67.0,011754-000
1171,Cancelado,,,036745-000
4158,Em Trânsito,161.63286024064763,,082914-000
4624,Entregue,311.30658294598504,32.0,065833-000
2146,Em Trânsito,193.4547643122662,,030140-000
1842,Cancelado,,35.0,084907-000
2321,Cancelado,,69.0,070653-000
2908,Em Trânsito,202.72678816797082,58.0,071521-000
1689,Cancelado,,41.0,088315-000
3622,Entregue,178.75303837752205,19.0,041075-000
2507,Em Trânsito,109.35604845503033,57.0,040697-000
3212,Entregue,168.16426949419878,37.0,064544-000
3024,Entregue,113.83274156282673,51.0,019795-000
2722,Entregue,183.13909430104806,60.0,074555-000
1382,Em Trânsito,199.13284536361707,43.0,062204-000
3256,Cancelado,,,079754-000
4810,Entregue,206.59050806077119,55.0,074860-000
4503,Entregue,155.74261997813548,47.0,061529-000
2412,Entregue,174.59366062209926,59.0,021672-000
2583,Cancelado,,22.0,064238-000
3271,Cancelado,,28.0,045950-000
3050,Em Trânsito,116.2207806292666,,021009-000
1371,Cancelado,,51.0,057096-000
2710,Em Trânsito,223.35813348256312,73.0,029544-000
2469,Em Trânsito,164.4760104658176,18.0,065728-000
1610,Em Trânsito,104.95725467834082,,039381-000
1115,Em Trânsito,181.32330458887932,19.0,035287-000
4341,Em Trânsito,170.0894372893858,,074610-000
1446,Entregue,252.93008732001545,,078122-000
2391,Cancelado,,40.0,078184-000
4324,Entregue,120.72625043879657,38.0,050081-000
2340,Em Trânsito,188.5320612823189,41.0,093637-000
1414,Cancelado,,21.0,055312-000
4166,Entregue,154.0125494855887,29.0,097228-000
2808,Entregue,103.57619848122239,39.0,082943-000
3939,Em Trânsito,143.87825935982931,37.0,092790-000
2047,Entregue,151.54023487452181,,090770-000
4699,Entregue,143.5825662131561,,062726-000
3710,Entregue,120.45563187845893,47.0,032211-000
2873,Entregue,164.41145651726475,50.0,039480-000
2073,Entregue,103.82637915790832,41.0,057780-000
4573,Em Trânsito,92.05026997380025,31.0,067138-000
1717,Em Trânsito,185.47680853632204,53.0,052503-000
4569,Entregue,180.8875089043642,,067893-000
2358,Em Trânsito,84.61977596598238,28.0,056193-000
4150,Em Trânsito,58.52224767837687,41.0,071358-000
2605,Cancelado,,48.0,090857-000
4098,Entregue,143.5850502763401,72.0,088182-000
3318,Em Trânsito,207.7174787382753,30.0,032117-000
1561,Em Trânsito,142.362771609374,,069056-000
3851,Entregue,111.53194756359844,41.0,068706-000
3294,Cancelado,,30.0,080429-000
4847,Entregue,144.29919423752096,41.0,019476-000
4662,Cancelado,,71.0,092806-000
1386,Entregue,81.24685575406444,43.0,065006-000
1701,Entregue,82.59012489423533,,097238-000
3606,Entregue,273.99257674539683,33.0,079918-000
1972,Entregue,192.99907201368066,55.0,073155-000
2384,Cancelado,,63.0,077321-000
4937,Cancelado,,18.0,055798-000
1983,Em Trânsito,121.59718561692675,66.0,087271-000
2511,Entregue,203.75901984868648,28.0,040177-000
1351,Cancelado,,68.0,092215-000
2724,Cancelado,,,053013-000
2951,Cancelado,,60.0,092600-000
2279,Entregue,156.87597863618424,46.0,063450-000
4293,Em Trânsito,169.9133886089663,54.0,057928-000
2907,Cancelado,,34.0,055382-000
1752,Entregue,160.2507386435464,71.0,095038-000
3828,Cancelado,,,010760-000
2024,Cancelado,,59.0,034142-000
1545,Em Trânsito,212.4395950274779,45.0,027290-000
2469,Cancelado,,,081035-000
1078,Cancelado,,60.0,010364-000
2259,Entregue,139.9632540999004,20.0,066921-000
3381,Entregue,87.19353526947751,69.0,029797-000
1888,Em Trânsito,183.2271771276608,27.0,042535-000
4420,Entregue,99.25386541708288,,056300-000
4169,Entregue,131.37728439753684,31.0,057176-000
2105,Em Trânsito,183.51743514509997,29.0,026105-000
3549,Cancelado,,,017939-000
2990,Em Trânsito,125.38560047353735,59.0,089472-000
2500,Entregue,90.12596569471785,47.0,052029-000
4998,Em Trânsito,210.26633661524056,49.0,025863-000
4775,Cancelado,,49.0,088097-000
3812,Em Trânsito,120.70620865260254,59.0,020447-000
1920,Entregue,60.41352900830694,49.0,056940-000
1549,Entregue,149.006947609605,,087947-000
3061,Em Trânsito,133.33525568192204,68.0,095001-000
1391,Cancelado,,18.0,029642-000
4418,Em Trânsito,91.26841615212132,73.0,077643-000
3357,Cancelado,,59.0,017928-000
3433,Cancelado,,,058002-000
4280,Em Trânsito,145.3911250008797,34.0,094853-000
2380,Cancelado,,47.0,035017-000
1973,Entregue,152.88870033530426,73.0,089064-000
4672,Em Trânsito,157.88774355801337,56.0,023313-000
4639,Cancelado,,24.0,011559-000
4165,Entregue,216.23493524865253,69.0,060893-000
4164,Em Trânsito,142.21960358435297,44.0,025167-000
1339,Entregue,101.60786824301933,26.0,090879-000
3644,Entregue,178.03586411463783,39.0,048598-000
4516,Entregue,135.98803076279046,51.0,017523-000
1756,Cancelado,,63.0,059777-000
2045,Em Trânsito,119.90166928139371,66.0,038439-000
3338,Em Trânsito,107.09945556836095,18.0,091060-000
4556,Cancelado,,26.0,023285-000
4855,Em Trânsito,62.979110438150386,37.0,020973-000
3353,Entregue,126.62856431208583,70.0,032694-000
3681,Em Trânsito,133.50797116958256,36.0,045774-000
4199,Cancelado,,53.0,014302-000
3672,Entregue,100.18639518649005,57.0,032391-000
1938,Cancelado,,62.0,014611-000
4344,Entregue,207.84568453481998,21.0,019372-000
1847,Entregue,149.3269272707174,,034312-000
1441,Em Trânsito,193.23185919514805,58.0,024080-000
3550,Entregue,122.91062993082686,39.0,090618-000
1129,Cancelado,,35.0,030874-000
4203,Em Trânsito,160.72672135146067,29.0,072537-000
1596,Cancelado,,59.0,083914-000
2958,Entregue,139.11909099142594,60.0,011597-000
